nodeID nodeLabel
1 MEP2
2 NPR1
3 CaJ7_0018
4 ESS1
5 RPB7
6 ESA1
7 SAS2
8 TSA1
9 TUP1
10 FHL1
11 CaO19.4282
12 TBF1
13 RAP1
14 CBK1
15 ACT1
16 ADE4
17 ADH1
18 CaO19.409
19 ATP3
20 CCC1
21 CCT7
22 CDH1
23 ENO1
24 GPD2
25 HXT63
26 HXT61
27 HSP60
28 ILV3
29 CaO19.8955
30 MAF1
31 MET2
32 CMP65
33 NSP1
34 PGK1
35 POL5
36 RGD2
37 RPL15
38 SFL1
39 SLK19
40 SMI1
41 SNZ99
42 SSD1
43 TRM1
44 CaO19.1354
45 VPS13
46 OCH1
47 TRX1
48 HSP90
49 HOS2
50 CKB1
51 CaO19.7381
52 CKB2
53 CaO19.5664
54 YAP3
55 CaO19.223
56 LRG1
57 CaO19.12893
58 CaO19.12215
59 CaO19.658
60 CaO19.10999
61 CKA1
62 CaO19.9331
63 IRE1
64 CaO19.1141
65 HAL93
66 CaO19.1907
67 CaO19.431
68 SLA2
69 CaO19.4243
70 ECM22
71 APL5
72 CaO19.4139
73 CaO19.1795
74 CaO19.467
75 CaO19.1826
76 CaO19.2054
77 MIG1
78 MIG2
79 ROD1
80 DIE2
81 HST7
82 AAT22
83 DAL80
84 RTG1
85 PTP1
86 CaO19.1276
87 BMH1
88 CaO19.9115
89 CaO19.4776
90 ARO80
91 CaO19.5412
92 CaO19.3751
93 YCK21
94 CDC10
95 RIM15
96 CaO19.10169
97 PPR1
98 ARG81
99 CaO19.12598
100 SSN8
101 SNT1
102 DOA4
103 WSC3
104 CPH1
105 STB5
106 ADA2
107 HOC1
108 CaO19.11598
109 NGG1
110 SPT7
111 PDE2
112 VPS16
113 CDR1
114 SEF1
115 CaO19.6845
116 CaO19.4529
117 CaO19.166
118 LPG20
119 CEK2
120 TEC1
121 TAF14
122 WRY6
123 CaO19.11450
124 CaO19.6970
125 PEX14
126 HYZ99
127 CaO19.2647
128 HAP5
129 NUP84
130 AZF1
131 CaO19.6182
132 PZF1
133 THI20
134 RAD18
135 CaO19.1694
136 RGT1
137 CaO19.695
138 RIC1
139 CaO19.7410
140 CaO19.3678
141 CaO19.7576
142 CMK1
143 SSN3
144 CaO19.4474
145 PBS2
146 ECM32
147 ZFU1
148 CaO19.9326
149 RTG3
150 SNF5
151 VPS15
152 CaO19.3876
153 PNA1
154 CaO19.2808
155 DAL81
156 STB4
157 KNS1
158 CaO19.861
159 CZF1
160 CaO19.12307
161 IME4
162 SYG1
163 CaO19.5571
164 CaO19.7194
165 PAN3
166 CaO19.4252
167 HSL1
168 PSK2
169 HOG1
170 PKC1
171 LPF1
172 CaO19.4568
173 CaO19.1497
174 CaO19.2745
175 CWC24
176 CaO19.3869
177 CaO19.422
178 CaO19.723
179 SPT3
180 UBP14
181 CaO19.13396
182 CaO19.1729
183 TFC3
184 BUB1
185 ECM25
186 SUN4
187 ECM17
188 CaO19.1178
189 GUA1
190 COG3
191 GCD14
192 CaO19.4084
193 PKH1
194 KIN1
195 MKC1
196 SIP3
197 CaO19.5253
198 STE11
199 MKK2
200 SNF7
201 MNN9
202 TPS1
203 CaO19.59
204 YNG2
205 VPS28
206 CNA1
207 UBC1
208 CaO19.7693
209 CaO19.5651
210 CaO19.4981
211 SRB8
212 CaO19.3744
213 CTA4
214 CaO19.681
215 TEL1
216 PIB1
217 HAL92
218 CFP1
219 RPH2
220 ALP13
221 CaO19.4214
222 LIP6
223 ARR3
224 CaO19.5023
225 CaO19.411
226 PRR1
227 KIN3
228 LEU3
229 RIM11
230 CaO19.2508
231 CaO19.6763
232 EAP1
233 UBC13
234 CaO19.5337
235 MMS2
236 CaO19.13655
237 ADR1
238 PHO23
239 CaO19.1277
240 ECM38
241 CaO19.14215
242 CaO19.1969
243 CaO19.2476
244 CaO19.251
245 HWP2
246 HYR1
247 PHR3
248 SPR1
249 CaO19.2296
250 CaO19.2336
251 ECM14
252 BEM2
253 CAP1
254 SIP5
255 CaO19.3088
256 CaO19.2612
257 CaO19.1496
258 CaO19.7025
259 SNT2
260 CaO19.1219
261 FMO3
262 ALS7
263 CaO19.1331
264 GAP1
265 CaO19.1341
266 VPS34
267 HIT1
268 VTI1
269 FRQ1
270 TAF11
271 PCL5
272 GCN4
273 NOP1
274 SIK1
275 UTP21
276 NOP58
277 CaJ7_0484
278 CaO19.1633
279 UTP5
280 CaO19.11092
281 CaO19.14002
282 RPL3
283 CaO19.5430
284 PWP2
285 NAN1
286 UTP8
287 DIP2
288 CaO19.5225
289 RRP9
290 RPL16
291 CaO19.11744
292 CaO19.2127
293 FAR1
294 ERK1
295 GNA1
296 CaO19.7539
297 SNF4
298 CLN3
299 CDC28
300 SIN3
301 OPI1
302 CaO19.5061
303 RAS1
304 CYR1
305 SUA71
306 SEC20
307 TIP20
308 CRK1
309 CDC37
310 CaO19.3192
311 INP51
312 CaO19.6953
313 CYC8
314 CaO19.6734
315 VMA7
316 CET1
317 CEG1
318 VRP1
319 LAS17
320 MYO5
321 SNF1
322 CaO19.4997
323 CDC4
324 GPH1
325 DBP8
326 MRPL40
327 HMT1
328 THR1
329 CaO19.3689
330 CaO19.425
331 GPA2
332 GPR1
333 CGR1
334 SSE1
335 CaO19.610
336 CaO19.1093
337 BUD6
338 MOB2
339 RPP1A
340 RPP2B
341 RPP1B
342 CaO19.6403
343 CDC11
344 SHS1
345 CaO19.4378
346 RFA2
347 CaO19.3685
348 MED8
349 SSN2
350 Gal11
351 RGR1
352 CaO19.1808
353 SIN4
354 CaO19.826
355 CaO19.4091
356 CaO19.1878
357 MED7
358 MED6
359 CaO19.7165
360 CaO19.4415
361 SRB7
362 CaJ7_0143
363 NUT2
364 SOH1
365 SRB6
366 CaO19.7663
367 SMC4
